title,url,id,location,xl url,img_name,xl img,date,department
Avionics Test Technician (Vibration) - 2nd shift,https://boards.greenhouse.io/spacex/jobs/4131269002?gh_jid=4131269002,4131269002,"Hawthorne, CA, United States",View Online,spacex_job_images/4131269002.png,Job Img,4/23/2019,
CNC Programmer,https://boards.greenhouse.io/spacex/jobs/4267704002?gh_jid=4267704002,4267704002,"Hawthorne, CA, United States",View Online,spacex_job_images/4267704002.png,Job Img,4/23/2019,
CNC VTL Machinist - 1st Shift (Weekend),https://boards.greenhouse.io/spacex/jobs/4230540002?gh_jid=4230540002,4230540002,"Hawthorne, CA, United States",View Online,spacex_job_images/4230540002.png,Job Img,4/23/2019,
Composites Technician,https://boards.greenhouse.io/spacex/jobs/4203734002?gh_jid=4203734002,4203734002,"Hawthorne, CA, United States",View Online,spacex_job_images/4203734002.png,Job Img,4/23/2019,
Friction Stir Weld Technician,https://boards.greenhouse.io/spacex/jobs/4220990002?gh_jid=4220990002,4220990002,"Hawthorne, CA, United States",View Online,spacex_job_images/4220990002.png,Job Img,4/23/2019,
Integration Technician (Falcon 9),https://boards.greenhouse.io/spacex/jobs/4233507002?gh_jid=4233507002,4233507002,"Hawthorne, CA, United States",View Online,spacex_job_images/4233507002.png,Job Img,4/23/2019,
Machine Maintenance Technician,https://boards.greenhouse.io/spacex/jobs/4265836002?gh_jid=4265836002,4265836002,"Hawthorne, CA, United States",View Online,spacex_job_images/4265836002.png,Job Img,4/23/2019,
Maintenance Technician,https://boards.greenhouse.io/spacex/jobs/4205510002?gh_jid=4205510002,4205510002,"Redmond, WA, United States",View Online,spacex_job_images/4205510002.png,Job Img,4/23/2019,
Orbital Tube Welder - Dragon Fluid Systems,https://boards.greenhouse.io/spacex/jobs/4227622002?gh_jid=4227622002,4227622002,"Hawthorne, CA, United States",View Online,spacex_job_images/4227622002.png,Job Img,4/23/2019,
Propulsion Technician,https://boards.greenhouse.io/spacex/jobs/4207123002?gh_jid=4207123002,4207123002,"Hawthorne, CA, United States",View Online,spacex_job_images/4207123002.png,Job Img,4/23/2019,
Satellite Integration Technician,https://boards.greenhouse.io/spacex/jobs/4200300002?gh_jid=4200300002,4200300002,"Redmond, WA, United States",View Online,spacex_job_images/4200300002.png,Job Img,4/23/2019,
Satellites Electro-Mechanical Technician,https://boards.greenhouse.io/spacex/jobs/4121689002?gh_jid=4121689002,4121689002,"Redmond, WA, United States",View Online,spacex_job_images/4121689002.png,Job Img,4/23/2019,
TIG Welder (Launch Vehicle Sub Assemblies),https://boards.greenhouse.io/spacex/jobs/4255164002?gh_jid=4255164002,4255164002,"Hawthorne, CA, United States",View Online,spacex_job_images/4255164002.png,Job Img,4/23/2019,
TIG Welder (Precision Tube Fabrication),https://boards.greenhouse.io/spacex/jobs/4232815002?gh_jid=4232815002,4232815002,"Hawthorne, CA, United States",View Online,spacex_job_images/4232815002.png,Job Img,4/23/2019,
Manufacturing Engineer (Foundry),https://boards.greenhouse.io/spacex/jobs/4183887002?gh_jid=4183887002,4183887002,"Hawthorne, CA, United States",View Online,spacex_job_images/4183887002.png,Job Img,4/23/2019,
Materials Technician (Test),https://boards.greenhouse.io/spacex/jobs/4251068002?gh_jid=4251068002,4251068002,"McGregor, TX, United States",View Online,spacex_job_images/4251068002.png,Job Img,4/23/2019,
"Materials Technician, Finishing Operations - Split/Night Shift",https://boards.greenhouse.io/spacex/jobs/4227734002?gh_jid=4227734002,4227734002,"Hawthorne, CA, United States",View Online,spacex_job_images/4227734002.png,Job Img,4/23/2019,
"Materials Technician, Pattern and Shelling",https://boards.greenhouse.io/spacex/jobs/4227751002?gh_jid=4227751002,4227751002,"Hawthorne, CA, United States",View Online,spacex_job_images/4227751002.png,Job Img,4/23/2019,
"Sr. Foundry Operations Engineer, Sand Casting",https://boards.greenhouse.io/spacex/jobs/4262065002?gh_jid=4262065002,4262065002,"Hawthorne, CA, United States",View Online,spacex_job_images/4262065002.png,Job Img,4/23/2019,
"Mission Integration Engineer, Dragon",https://boards.greenhouse.io/spacex/jobs/4215811002?gh_jid=4215811002,4215811002,"Hawthorne, CA, United States",View Online,spacex_job_images/4215811002.png,Job Img,4/23/2019,
Vehicle Engineering Certification Engineer,https://boards.greenhouse.io/spacex/jobs/4201239002?gh_jid=4201239002,4201239002,"Hawthorne, CA, United States",View Online,spacex_job_images/4201239002.png,Job Img,4/23/2019,
Physical Security Hardware Technician,https://boards.greenhouse.io/spacex/jobs/4252136002?gh_jid=4252136002,4252136002,"Cape Canaveral, FL, United States",View Online,spacex_job_images/4252136002.png,Job Img,4/23/2019,
Security Officer - Level 1,https://boards.greenhouse.io/spacex/jobs/4213366002?gh_jid=4213366002,4213366002,"Hawthorne, CA, United States",View Online,spacex_job_images/4213366002.png,Job Img,4/23/2019,
Security Officer - Level 1 (Part Time),https://boards.greenhouse.io/spacex/jobs/4254189002?gh_jid=4254189002,4254189002,"Cape Canaveral, FL, United States",View Online,spacex_job_images/4254189002.png,Job Img,4/23/2019,
Security Officer - Level 2,https://boards.greenhouse.io/spacex/jobs/4129977002?gh_jid=4129977002,4129977002,"Hawthorne, CA, United States",View Online,spacex_job_images/4129977002.png,Job Img,4/23/2019,
Security Officer - Level 3,https://boards.greenhouse.io/spacex/jobs/4207802002?gh_jid=4207802002,4207802002,"Brownsville, TX, United States",View Online,spacex_job_images/4207802002.png,Job Img,4/23/2019,
Security Protective Operations Center (SPOC) Operator,https://boards.greenhouse.io/spacex/jobs/4265107002?gh_jid=4265107002,4265107002,"Hawthorne, CA, United States",View Online,spacex_job_images/4265107002.png,Job Img,4/23/2019,
Turbomachinery Development Engineer,https://boards.greenhouse.io/spacex/jobs/4227312002?gh_jid=4227312002,4227312002,"Hawthorne, CA, United States",View Online,spacex_job_images/4227312002.png,Job Img,4/23/2019,
Avionics Software Engineer,https://boards.greenhouse.io/spacex/jobs/4263188002?gh_jid=4263188002,4263188002,"Hawthorne, CA, United States",View Online,spacex_job_images/4263188002.png,Job Img,4/23/2019,
Lead Full Stack Software Engineer,https://boards.greenhouse.io/spacex/jobs/4227659002?gh_jid=4227659002,4227659002,"Hawthorne, CA, United States",View Online,spacex_job_images/4227659002.png,Job Img,4/23/2019,
Senior C++ Software Engineer (Top Secret Clearance),https://boards.greenhouse.io/spacex/jobs/4267152002?gh_jid=4267152002,4267152002,"Hawthorne, CA, United States",View Online,spacex_job_images/4267152002.png,Job Img,4/23/2019,
Senior Software Engineer (Build and Release),https://boards.greenhouse.io/spacex/jobs/4192011002?gh_jid=4192011002,4192011002,"Hawthorne, CA, United States",View Online,spacex_job_images/4192011002.png,Job Img,4/23/2019,
Senior Software Engineer (Vehicle),https://boards.greenhouse.io/spacex/jobs/4258603002?gh_jid=4258603002,4258603002,"Hawthorne, CA, United States",View Online,spacex_job_images/4258603002.png,Job Img,4/23/2019,
Senior Technical Product Manager - Applications,https://boards.greenhouse.io/spacex/jobs/4269227002?gh_jid=4269227002,4269227002,"Hawthorne, CA, United States",View Online,spacex_job_images/4269227002.png,Job Img,4/23/2019,
